flamingo flamingoes
flatfish flatfishes
flatfoot flatfeet
flittermouse flittermice
flocculus flocculi
floccus flocci
flora florae
floreat floreant.
florilegium florilegia
flyleaf flyleaves
focus foci
folium folia
foot feet
foramen foramina
forceps forceps
forefoot forefeet
foretooth foreteeth
formicarium formicaria
formula formulae
fornix fornices
fortis fortes
forum fora
fossa fossae
fovea foveae
foveola foveolae
fractocumulus fractocumuli
fractostratus fractostrati
fraenum fraena
frau frauen
frenulum frenula
frenum frena
fresco frescoes
fricandeau fricandeaux
fricando fricandoes
frijol frijoles
frogfish frogfishes
frons frontes
frustum frusta
fucus fuci
fulcrum fulcra
fumatorium fumatoria
fundus fundi
fungus fungi
funiculus funiculi
furcula furculae
furculum furcula
furfur furfures
galea galeae
gambado gambadoes
gametangium gametangia
gametoecium gametoecia
gammadion gammadia
ganglion ganglia
garfish garfishes
gas gas gasses
gastrula gastrulae
gateau gateaux
gazebo gazeboes
gecko geckoes
gelsemium gelsemia
gemeinschaft gemeinschaften
gemma gemmae
gemsbok gemboks
gemsbuck gembucks
generatrix generatrices
genesis geneses
genius genii
gens gentes
genu genua
genus genera genus
germen germina
gesellschaft gesellschaften
gestalt gestalten
ghetto ghettoes
gingiva gingivae
gingko gingkoes
ginglymus ginglymi
ginkgo ginkgoes
gippo gippoes
glabella glabellae
gladiolus gladioli
glans glandes
glioma gliomata
glissando glissandi
globefish globefishes
globigerina globigerinae
glochidium glochidcia glochidia
glomerulus glomeruli
glossa glossae
glottis glottides
glutaeus glutaei
gluteus glutei
gnosis gnoses
go goes
goatfish goatfishes
gobo goboes
godchild godchildren
goldfish goldfishes
gomphosis gomphoses
gonidium gonidia
gonion gonia
gonococcus gonococci
goodwife goodwives
goose geese
goosefish goosefishes
gorgoneion gorgoneia
gospodin gospopoda
goy goyim
graf grafen
graffito graffiti
grandchild grandchildren
granuloma granulomata
gravamen gravamina
grosz groszy
grotto grottoes
guilde guilder
guilder guilde guilders
guitarfish guitarfishes
gumma gummata
gurnar gurnard
gurnard gurnar gurnards
gutta guttae
gymnasium gymnasia
gynaeceum gynaecea
gynaecium gynaecia
gynecium gynecia gynecea
gynoecium gynoecia gynoecea
gyrus gyri
hadj hadjes
haematolysis haematolyses
haematoma haematomata
haematozoon haematozoa
haemodialysis haemodialyses
haemolysis haemolyses
haemoptysis haemoptyses
haeres haeredes
haftarah haftaroth
hagfish hagfishes
haggada haggadoth
haggadah haggada haggadas
hajj hajjes
haler haleru
half halves
halfpenny halfpence
hallah challoth halloth hallot
hallux halluces
halo haloes
haltere halteres halter
hamulus hamuli
haphtarah haphtaroth
haredi haredim
haruspex haruspices
hasid hasidim
hassid hassidim
haustellum haustella
haustorium haustoria
hazzan hazzanim
hectocotylus hectocotyli
heder hadarim
heldentenor heldentenore
heliozoan heliozoa
helix helices
hematolysis hematolyses
hematoma hematomata
hematozoon hematozoa
hemelytron hemelytra
hemielytron hemielytra
hemodialysis hemodialyses
hemolysis hemolyses
hemoptysis hemoptyses
hendecahedron hendecahedra
heraclid heraclidae
heraklid heraklidae
herbarium herbaria
herma hermae herm hermai
hernia herniae
hero heroes
herr herren
hetaera hetaerae
hetaira hetairai
hibernaculum hibernacula
hieracosphinx hieracosphinges
hilum hila
hilus hili
himation himatia
hippocampus hippocampi
hippopotamus hippopotami
his his
hobo hoboes
hogfish hogfishes
homunculus homunculi
honorarium honoraria
hoof hooves
horologium horologia
housewife housewives
humerus humeri
hydra hydrae
hydromedusa hydromedusae
hydrozoan hydrozoa
hymenium hynia hyniums
hymenopteran hymenoptera
hypanthium hypanthia
hyperostosis hyperostoses
hypha hyphae
hypnosis hypnoses
hypochondrium hypochondria
hypogastrium hypogastria
hypogeum hypogea
hypophysis hypophyses
hypostasis hypostases
hypothalamus hypothalami
hypothesis hypotheses
hyrax hyraces
iamb iambi
ibex ibices
ichthyosaurus ichthyosauri ichthyosaur ichthyosauruses
iconostasis iconostases iconostas
icosahedron icosahedra
ideatum ideata
igbo ibo
igorrote igorrorote
ilium ilia
imago imagoes imagines
imperium imperia
impi impies
incubus incubi
incus incudes
index indices
indigo indigoes
indumentum indumenta
indusium indusia
infundibulum infundibula
ingush ingushes
innuendo innuendoes
inoculum inocula
